product_id,location_id,date,sales_qty,stock_qty,cost,promo,Demand,Deficit,NoFilter,NoneDeficit,Promo,day,weekday,month,year,NoneDeficit_lagback7d_alpha7d,NoneDeficit_lagback14d_alpha7d,NoneDeficit_lagback14d_w14_pctl10,NoneDeficit_lagback28d_alpha7d,NoneDeficit_lagback28d_w7_pctl10,NoneDeficit_lagback28d_w7_pctl90,NoneDeficit_lagback56d_alpha7d,NoneDeficit_lagback56d_w7_pctl90,NoneDeficit_lagforward7d_alpha7d,NoneDeficit_lagforward14d_alpha7d,NoneDeficit_lagforward14d_w14_pctl10,NoneDeficit_lagforward28d_alpha7d,NoneDeficit_lagforward28d_w28_pctl90,NoneDeficit_lagforward56d_alpha7d,NoneDeficit_lagforward56d_w7_pctl90,NoneDeficit_lagforward56d_w28_nanmean,NoneDeficit_lagforward56d_w28_pctl90,NoneDeficit_lagforward56d_w56_nanmean,NoneDeficit_lagforward56d_w56_nanmedian,NoFilter_lagback28d_w56_nanmean,NoFilter_lagback56d_w56_nanmean,NoFilter_lagback56d_w56_nanmedian,NoFilter_lagforward28d_alpha7d,NoFilter_lagforward28d_w14_nanmedian,NoFilter_lagforward28d_w28_nanmean,NoFilter_lagforward28d_w28_nanmedian,NoFilter_lagforward56d_alpha7d,NoFilter_lagforward56d_w14_nanmedian,NoFilter_lagforward56d_w56_nanmean,Promo_lagback7d_w56_pctl90,Promo_lagback28d_w14_nanmedian,Promo_lagback28d_w56_pctl90,Promo_lagback56d_w56_pctl90,Promo_lagforward56d_w14_nanmedian
9000400501,5637149154,2018-04-05,1.0,246,4.43,0,1.0,0,1,1,0,5,3,4,2018,-2.0,-2.0,0.0,-2.0,0.0,0.0,-2.0,0.0,1.8489119170984456,1.0968031543343941,0.0,2.7668602485355787,0.0,3.8302501495920778,3.8000000000000007,5.923076923076923,0.0,5.5,3.5,0.0,0.0,0.0,2.7668602485355787,3.5,4.695652173913044,4.0,3.8302501495920778,2.0,5.5,0.0,0.0,0.0,0.0,2.0
9000400501,5637145510,2018-04-11,1.0,293,4.43,0,1.0,0,1,1,0,11,2,4,2018,-2.0,-2.0,0.0,-2.0,0.0,0.0,-2.0,0.0,1.0968031543343941,2.0776778648742944,0.0,5.321181008215957,0.0,2.233848042785126,3.8000000000000007,3.3076923076923075,0.0,5.4,3.0,1.0,0.0,0.0,5.321181008215957,5.5,7.84,6.0,2.233848042785126,2.0,5.4,0.0,0.0,0.0,0.0,2.0
9000400501,5637149154,2018-04-11,1.0,245,4.43,0,1.0,0,1,1,0,11,2,4,2018,-2.0,-2.0,0.0,-2.0,0.0,0.0,-2.0,0.0,1.0968031543343941,2.0776778648742944,0.0,5.321181008215957,0.0,2.233848042785126,3.8000000000000007,3.3076923076923075,0.0,5.4,3.0,1.0,0.0,0.0,5.321181008215957,5.5,7.84,6.0,2.233848042785126,2.0,5.4,0.0,0.0,0.0,0.0,2.0
9000400501,5637149154,2018-04-13,1.0,244,4.43,0,1.0,0,1,1,0,13,4,4,2018,1.0,-2.0,0.0,-2.0,0.0,0.0,-2.0,0.0,1.0968031543343941,2.6975653164617555,0.0,5.240829294593488,0.0,2.9371807272830592,3.8000000000000007,3.24,0.0,5.3061224489795915,3.0,1.5,0.0,0.0,5.240829294593488,6.5,7.6923076923076925,6.0,2.9371807272830592,2.5,5.3061224489795915,0.0,0.0,0.0,0.0,2.5
9000400501,5637149154,2018-04-15,1.0,243,4.43,0,1.0,0,1,1,0,15,6,4,2018,1.0,-2.0,0.0,-2.0,0.0,0.0,-2.0,0.0,2.3914999263261474,2.851353383332706,0.0,5.89617899620619,0.0,2.9659441250782104,3.8000000000000007,3.28,0.0,5.122448979591836,3.0,1.3333333333333333,0.0,0.0,5.89617899620619,7.5,7.615384615384615,6.0,2.9659441250782104,2.5,5.122448979591836,0.0,0.0,0.0,0.0,2.5
9000400501,5637149154,2018-04-16,1.0,242,4.43,0,1.0,0,1,1,0,16,0,4,2018,1.0,-2.0,0.0,-2.0,0.0,0.0,-2.0,0.0,2.622016444870942,2.851353383332706,0.0,6.681765296840765,0.0,2.716120256190757,3.8000000000000007,3.1666666666666665,0.0,5.0625,3.0,1.25,0.0,0.0,6.681765296840765,7.5,7.730769230769231,6.0,2.716120256190757,2.5,5.0625,0.0,0.0,0.0,0.0,2.5
9000400501,9000034500,2018-04-21,5.0,288,4.43,0,5.0,0,1,1,0,21,5,4,2018,1.3383228861702812,1.0,0.0,-2.0,0.0,0.0,-2.0,0.0,2.7904699153006645,4.158599675407036,0.0,18.72416460391801,10.0,5.4455823259161775,3.8000000000000007,3.3333333333333335,0.0,4.555555555555555,3.0,1.2,0.0,0.0,18.72416460391801,8.0,7.392857142857143,6.0,5.4455823259161775,2.5,4.555555555555555,0.0,0.0,0.0,0.0,2.5
9000400501,9000034500,2018-04-22,1.0,287,4.43,0,1.0,0,1,1,0,22,6,4,2018,1.1634988727223448,1.0,0.0,-2.0,0.0,0.0,-2.0,0.0,2.851353383332706,3.543642962075958,0.0,15.786714045681125,10.0,5.323832989578471,10.200000000000003,3.25,0.0,3.4444444444444446,3.0,1.8333333333333333,0.0,0.0,15.786714045681125,8.0,7.214285714285714,5.5,5.323832989578471,2.5,3.4444444444444446,0.0,0.0,0.0,0.0,2.5
9000400501,9000034500,2018-04-23,3.0,284,4.43,0,3.0,0,1,1,0,23,0,4,2018,1.0968031543343941,1.0,0.0,-2.0,0.0,0.0,-2.0,0.0,2.851353383332706,4.495119665685952,0.0,15.339303359222328,10.0,4.169232993847426,10.200000000000003,3.260869565217391,0.0,3.3636363636363638,3.0,1.7142857142857142,0.0,0.0,15.339303359222328,7.5,7.25,5.5,4.169232993847426,2.0,3.3636363636363638,0.0,0.0,0.0,0.0,2.0
9000400501,9000034500,2018-04-24,1.0,283,4.43,0,1.0,0,1,1,0,24,1,4,2018,1.0968031543343941,1.0,0.0,-2.0,0.0,0.0,-2.0,0.0,2.851353383332706,4.362182646726156,0.0,14.002837202383413,10.0,3.33711987910513,10.200000000000003,3.25,0.0,3.116279069767442,3.0,1.875,0.0,0.0,14.002837202383413,6.5,7.2592592592592595,5.0,3.33711987910513,3.0,3.116279069767442,0.0,0.0,0.0,0.0,3.0
